utente_id;nome;cognome;data_nascita;email;password;ruolo
3;Oscar;Vecchione;1978-06-06;oscar@gmail.it;oscar123;RUOLO_ADMIN
4;Allen;Ingaramo;1984-07-07;allen@gmail.it;allen123;RUOLO_ADMIN
5;Milo;Spandre;1982-08-08;milo@gmail.it;milo123;RUOLO_ADMIN
6;Dino;Olivieri;1980-09-09;dino@gmail.it;dino123;RUOLO_ADMIN
7;Antony;Banche;1989-06-06;antony@gmail.it;antony123;RUOLO_ADMIN
8;Federico;Muscio;1997-10-10;federico@gmail.it;federico123;RUOLO_ADMIN
9;Mauro;Boiaccino;1965-11-11;mauro@gmail.it;mauro123;RUOLO_ADMIN
10;Davive;Ghione;1981-12-12;davide@gmail.it;davide123;RUOLO_ADMIN
11;Pippo;Franco;1940-01-01;pippo@gmail.it;pippo123;RUOLO_ADMIN
12;Povero;Gabbiano;1980-02-02;gabbiano@gmail.it;povero123;RUOLO_UTENTE
13;Manco;Morto;1999-03-03;manco@gmail.it;manco123;RUOLO_UTENTE
14;Giorgio;Vanni;1980-04-04;giorgio@gmail.it;giorgio123;RUOLO_UTENTE
15;Cristina;Davena;1975-05-05;cristina@gmail.it;cristina123;RUOLO_UTENTE
16;Maicol;Giecson;1978-06-06;maicol@gmail.it;maicol123;RUOLO_UTENTE
17;Umberto;Tozzi;1952-07-07;umberto@gmail.it;umberto123;RUOLO_UTENTE
18;Ivana;Spagna;1975-08-08;ivana@gmail.it;ivana123;RUOLO_UTENTE
19;Claudia;Speranza;1969-09-09;claudia@gmail.it;claudia123;RUOLO_UTENTE
20;Paola;Capra;1978-06-06;paola@gmail.it;paola123;RUOLO_UTENTE
